,xcenter,ycenter,width,height,confidence,class,name,frame
0,528.1409301757812,259.8965759277344,232.60580444335938,200.9247589111328,0.8121925592422485,2,car,1
1,393.4048156738281,355.5180358886719,281.57232666015625,241.8970947265625,0.7998288869857788,2,car,1
2,262.70587158203125,161.61729431152344,58.26493835449219,175.98434448242188,0.6163635849952698,0,person,1
0,396.989501953125,355.99273681640625,289.3674011230469,243.8958740234375,0.806591272354126,2,car,2
1,528.7048950195312,259.2364807128906,232.5654296875,192.9268798828125,0.7331351637840271,2,car,2
2,263.07977294921875,157.26280212402344,59.49853515625,186.47946166992188,0.6024639010429382,0,person,2
0,397.0947570800781,356.0337829589844,290.84832763671875,244.75982666015625,0.7936896681785583,2,car,3
1,528.6966552734375,259.24468994140625,232.783935546875,191.995361328125,0.7265803813934326,2,car,3
2,262.783935546875,156.54678344726562,59.98486328125,187.87078857421875,0.6139128804206848,0,person,3
0,397.0536193847656,351.945068359375,287.83770751953125,239.68617248535156,0.7817893028259277,2,car,4
1,527.994384765625,256.91249084472656,235.71002197265625,201.25784301757812,0.7672983407974243,2,car,4
2,264.19618225097656,160.0378875732422,60.848358154296875,175.19601440429688,0.6694228649139404,0,person,4
0,393.90606689453125,353.6123962402344,283.0945129394531,236.0504150390625,0.8056954145431519,2,car,5
1,525.0398559570312,258.45880126953125,240.70584106445312,203.9970703125,0.7720053791999817,2,car,5
2,267.0769348144531,159.82872009277344,58.70002746582031,176.84393310546875,0.6400299072265625,0,person,5
0,396.5216369628906,355.4768981933594,290.50347900390625,245.470458984375,0.7918517589569092,2,car,6
1,528.3338623046875,258.2294921875,232.1734619140625,194.74365234375,0.7492372989654541,2,car,6
0,395.5513916015625,355.928955078125,288.5574951171875,244.51080322265625,0.7992613315582275,2,car,7
1,527.8400268554688,258.76751708984375,232.67041015625,195.042724609375,0.7575445771217346,2,car,7
2,271.6136474609375,163.78030395507812,55.34071350097656,164.7603302001953,0.6584449410438538,0,person,7
0,395.3747253417969,356.8612060546875,289.05816650390625,246.70281982421875,0.7609672546386719,2,car,8
1,528.0562133789062,258.83258056640625,232.7056884765625,193.02801513671875,0.663907527923584,2,car,8
2,273.889404296875,163.87449645996094,57.80474853515625,171.95883178710938,0.6161646246910095,0,person,8
0,395.4491271972656,356.8735046386719,289.19476318359375,246.55303955078125,0.7653200030326843,2,car,9
1,275.9114685058594,158.8507080078125,58.90159606933594,176.12890625,0.6705670356750488,0,person,9
2,528.0162353515625,258.772216796875,232.7318115234375,192.52996826171875,0.6650432348251343,2,car,9
0,396.770263671875,354.32342529296875,289.116455078125,237.73464965820312,0.7690716981887817,2,car,10
1,279.76666259765625,164.89317321777344,53.246246337890625,156.100341796875,0.7496225833892822,0,person,10
